,username,replyto_1,replyto_2,Jdate,date,retweets,favorites,text,mentions,hashtags,permalink,afraid,amused,angry,annoyed,dont_care,happy,inspired,sad,type,url,no_tiny_urls
2343,USFWS,,,146,5/25/2016,88,144,The State of North America's Birds 2016: http://bit.ly/1Wisnsb StateoftheBirds #BirdYear pic.twitter.com/E3BplSNM8K,,#StateoftheBirds #BirdYearpic,https://twitter.com/USFWS/status/735471708866551809,0.264076597,0.108881442,0.11145123,0.132270677,0.095843506,0.104232624,0.063440185,0.119803739,Off,http://bit.ly/1Wisnsb,http://www.stateofthebirds.org/2016/
2132,USFWS,,,334,11/29/2016,122,208,6 excuses to avoid yard work this fall: http://bit.ly/2gFwIVn pic.twitter.com/xg2RXMnbwu,,,https://twitter.com/USFWS/status/803634431877517312,0.149445158,0.122600352,0.116767474,0.096398846,0.127389561,0.105521437,0.115132617,0.166744556,Off,http://bit.ly/2gFwIVn,http://www.nwf.org/news-and-magazines/national-wildlife/gardening/archives/2015/leave-the-leaves.aspx
2325,USFWS,,,161,6/9/2016,88,140,We found Becky with the good hare. -> http://bit.ly/1Xc9cR3 pic.twitter.com/yRdMKfM5DK,,,https://twitter.com/USFWS/status/740918415322451968,0.07307569,0.218641678,0.042740026,0.068347495,0.156385287,0.183848479,0.178909337,0.078052007,Off,http://bit.ly/1Xc9cR3,http://www.nwf.org/Kids/Ranger-Rick/New-RR-Characters.aspx
2484,USFWS,,,85,3/25/2016,149,231,It's a great time to offer building materials to nesting birds! Tips: http://bit.ly/1AQe5j9 Photo: John Benson CC pic.twitter.com/3dYBbmeQ7S,,,https://twitter.com/USFWS/status/713347503610077184,0.123166756,0.132407316,0.102470735,0.116854121,0.13283785,0.126795807,0.133935938,0.131531478,Off,http://bit.ly/1AQe5j9,http://blog.nwf.org/2014/04/how-to-offer-bird-nesting-materials-in-your-garden/
2134,USFWS,,,333,11/28/2016,119,229,"We think of raccoons as washing"" their food. But research shows that they're actually sensing it: http://bit.ly/2gCpvFA pic.twitter.com/4KxEavSZvv""",,,https://twitter.com/USFWS/status/803294277438754817,0.119020751,0.194692192,0.09940342,0.101476982,0.082015725,0.107747562,0.196362862,0.099280506,Off,http://bit.ly/2gCpvFA,http://www.mnn.com/earth-matters/animals/blogs/why-raccoons-wash-their-food-before-eating
2198,USFWS,,,278,10/4/2016,45,61,"What does it mean when a species is listed as injurious"" under the Lacey Act?http://bit.ly/2dtG9Gl pic.twitter.com/ljFbfyap1Q""",,,https://twitter.com/USFWS/status/783306541537427457,0.093194997,0.121053549,0.121977875,0.146870108,0.126175949,0.111235404,0.151930127,0.127561991,Off,http://bit.ly/2dtG9Gl,http://www.mnn.com/earth-matters/animals/blogs/what-injurious-species
2524,USFWS,,,62,3/2/2016,51,66,11 nationally protected wetlands you should know about: http://bit.ly/1Sijb4r pic.twitter.com/zoFpbiqjhj,,,https://twitter.com/USFWS/status/705146972362182656,0.05819712,0.154173613,0.185596418,0.122174551,0.105024591,0.124492526,0.112473086,0.137868096,Off,http://bit.ly/1Sijb4r,http://www.mnn.com/earth-matters/wilderness-resources/blogs/11-wondrous-wetlands-national-park-system
2553,USFWS,,,53,2/22/2016,122,144,Whooo who was that? Listen to 8 owls you might hear at night: http://bit.ly/21l2eJ7 (Photo: Tom Koerner USFWS) pic.twitter.com/IlovZ32od0,,,https://twitter.com/USFWS/status/701794246525919232,0.090581968,0.141224502,0.102766431,0.132671501,0.119130436,0.139326198,0.170179651,0.104119312,Off,http://bit.ly/21l2eJ7,http://www.mnn.com/earth-matters/animals/blogs/owls-you-might-hear-night
2608,USFWS,,,28,1/28/2016,52,102,Small WildlifeRefuge in Central California is a birder's paradise: http://bit.ly/1PC8FFm pic.twitter.com/bPgRoz1sk5,,#WildlifeRefuge,https://twitter.com/USFWS/status/692754721640177664,0.142913414,0.111416126,0.086457601,0.098706544,0.094471827,0.120590657,0.177661885,0.167781947,Off,http://bit.ly/1PC8FFm,http://www.mnn.com/earth-matters/wilderness-resources/blogs/Merced-national-wildlife-refuge-one-californias-little-known-treasures
2559,USFWS,,,48,2/17/2016,64,94,Pacific treefrogs are calling! Listen to the advertisement call produced to attract ladies: http://www.californiaherps.com/sounds/p.regilla.mp3 … pic.twitter.com/WkRig1I1SC,,,https://twitter.com/USFWS/status/700043647149019136,0.110529132,0.149309274,0.100464165,0.155130737,0.119782873,0.128353435,0.136822598,0.099607785,Off,http://www.californiaherps.com/sounds/p.regilla.mp3,http://www.californiaherps.com/sounds/p.regilla.mp3
