,username,replyto_1,replyto_2,Jdate,date,retweets,favorites,text,mentions,hashtags,permalink,afraid,amused,angry,annoyed,dont_care,happy,inspired,sad,type,url,no_tiny_urls
3087,NotAltWorld,,,392,1/26/2017,6589,15350,"A YUUUGE ScienceMarch in Washington DC is being planned to tell Trump's cabinet Alt"" facts won't sell #resisthttp://www.climatecentral.org/news/scientists-march-washington-dc-21111 …"" ",,#ScienceMarch #resisthttp,https://twitter.com/NotAltWorld/status/824620613797089281,0.116956077,0.154511981,0.094522569,0.108933852,0.120995552,0.21054542,0.10469399,0.08884056,Alt,http://www.climatecentral.org/news/scientists-march-washington-dc-21111,http://www.climatecentral.org/news/scientists-march-washington-dc-21111
3090,NotAltWorld,,,392,1/26/2017,3986,9391,A march on Washington is being nationally organized to advocate the importance of science to Trump sciencemarchhttp://www.climatecentral.org/news/scientists-march-washington-dc-21111 …,,#sciencemarchhttp,https://twitter.com/NotAltWorld/status/824569983095205888,0.097062777,0.126886858,0.115535491,0.143989396,0.11328727,0.124050564,0.164903389,0.114284255,Alt,http://www.climatecentral.org/news/scientists-march-washington-dc-21111,http://www.climatecentral.org/news/scientists-march-washington-dc-21111
3369,altusda,,,406,2/9/2017,145,146,Sonny Perdue will be bad. Very disappointed Vilsack endorsed him. http://www.climatecentral.org/news/food-security-forest-risk-trump-usda-21139 … resist #factsmatter #climatechangeisreal,,#resist #factsmatter #climatechangeisreal,https://twitter.com/altusda/status/829913974430892034,0.103008852,0.162485963,0.122040869,0.133244732,0.122119336,0.120324081,0.126047806,0.11072836,Alt,http://www.climatecentral.org/news/food-security-forest-risk-trump-usda-21139,http://www.climatecentral.org/news/food-security-forest-risk-trump-usda-21139
4018,altUSEPA,altUSEPA,,402,2/5/2017,34,100,Photo credit: Nickolay Lamm /http://ClimateCentral.org,,,https://twitter.com/altUSEPA/status/828450836976107521,0.099066748,0.136890621,0.089419648,0.120802432,0.122384805,0.153821562,0.150934003,0.126680181,Alt,http://ClimateCentral.org,http://www.climatecentral.org/
4024,altUSEPA,,,401,2/4/2017,883,554,The great unsciencing begins. Includes before & after screenshots. Thanks @AltVolcanoes_NPhttp://www.climatecentral.org/news/epa-climate-web-pages-change-21133 …,@AltVolcanoes_NPhttp,,https://twitter.com/altUSEPA/status/827844951165661185,0.08818733,0.16822286,0.050184409,0.10975609,0.153581643,0.174038325,0.183218751,0.072810594,Alt,http://www.climatecentral.org/news/epa-climate-web-pages-change-21133,http://www.climatecentral.org/news/epa-climate-web-pages-change-21133
3008,altNOAA,,,405,2/8/2017,23,62,Tornado simulator... and enjoy the cow! http://scijinks.gov/tornado-simulation/ … weather,,#weather,https://twitter.com/altNOAA/status/829377722463956994,0.234545062,0.070441395,0.055702515,0.052737134,0.107142659,0.105669943,0.179810136,0.193951156,Alt,http://scijinks.gov/tornado-simulation/,https://scijinks.gov/tornado-simulation/
488,NatlParkService,,,76,3/16/2016,45,92,. @NatGeo explores the importance of green spaces. What your fav city getaway? http://on.natgeo.com/1Z08y7g FindYourPark pic.twitter.com/OLUh5TVV3c,@NatGeo,#FindYourParkpic,https://twitter.com/NatlParkService/status/710105594602987521,0.095327192,0.147458207,0.074502092,0.082410375,0.089549825,0.18202291,0.226508415,0.102220984,Off,http://on.natgeo.com/1Z08y7g,http://www.nationalgeographic.com/magazine/2016/04/nature-urban-national-parks/
1388,EPA,,NA,3,1/3/2016,12,9,TUNE IN NOW: @GinaEPA on StarTalkTV with @neiltyson.http://channel.nationalgeographic.com/startalk/episodes/gina-mccarthy/ …,@GinaEPA @neiltyson,#StarTalkTV,https://twitter.com/EPA/status/683860703917260801,0.094710184,0.157234277,0.081642256,0.115428908,0.111153655,0.151069801,0.190575548,0.098185372,Off,http://channel.nationalgeographic.com/startalk/episodes/gina-mccarthy/,http://channel.nationalgeographic.com/startalk/episodes/gina-mccarthy/
1389,EPA,,NA,3,1/3/2016,8,5,Starting soon! @GinaEPA is on StarTalkTV with @neiltyson. Tune in at 11pm ET to watch. http://channel.nationalgeographic.com/startalk/episodes/gina-mccarthy/ …,@GinaEPA @neiltyson,#StarTalkTV,https://twitter.com/EPA/status/683853019381940225,0.079316102,0.157255786,0.074094759,0.126836192,0.133045691,0.164157311,0.156616552,0.108677607,Off,http://channel.nationalgeographic.com/startalk/episodes/gina-mccarthy/,http://channel.nationalgeographic.com/startalk/episodes/gina-mccarthy/
1390,EPA,,NA,3,1/3/2016,23,18,Tonight @ 11pm ET: @GinaEPA on StarTalkTV season finale w/ @neiltyson to talk how we protect planet & #ActOnClimate. http://channel.nationalgeographic.com/startalk/episodes/gina-mccarthy/ …,@ @GinaEPA @neiltyson,#StarTalkTV #ActOnClimate,https://twitter.com/EPA/status/683800400902905856,0.110901177,0.16366639,0.07293418,0.100351583,0.155182545,0.145636591,0.146828276,0.104499258,Off,http://channel.nationalgeographic.com/startalk/episodes/gina-mccarthy/,http://channel.nationalgeographic.com/startalk/episodes/gina-mccarthy/
2371,USFWS,,,130,5/9/2016,66,107,Rare Butterflies Flying High at Los Angeles Airport: http://bit.ly/1WjXx27 pic.twitter.com/SftF9tdI3c,,,https://twitter.com/USFWS/status/729782070889852929,0.132418362,0.136163061,0.085786478,0.093315419,0.131113391,0.182819389,0.127148442,0.111235457,Off,http://bit.ly/1WjXx27,http://news.nationalgeographic.com/2016/04/160421-butterflies-endangered-species-animals/
2546,USFWS,Mike_R_Johnson,,54,2/23/2016,2,2,@Mike_R_Johnson investigation to learn more here's what we know:http://on.natgeo.com/1QyiRiE ,@Mike_R_Johnson,,https://twitter.com/USFWS/status/702199422919294976,0.086372168,0.110083735,0.171677879,0.125750152,0.098995757,0.105534386,0.179408411,0.122177515,Off,http://on.natgeo.com/1QyiRiE,http://news.nationalgeographic.com/2016/02/160222-13-dead-eagles-eastern-shore-maryland/?utm_source=Twitter&utm_medium=Social&utm_content=link_tw20160222news-eagles&utm_campaign=Content&sf21353157=1
3035,altNOAA,,,397,1/31/2017,38,174,Pres. Obama protected more of the sea than anyone! Photo credit: Brian Skerry/ @NatGeo http://www.nationalgeographic.com/magazine/2017/02/interview-president-obama-underwater-snorkeling/ … pic.twitter.com/lqp6gDjCrc,@NatGeo,,https://twitter.com/altNOAA/status/826501197473468416,0.104112443,0.114492129,0.179077065,0.121148023,0.09613804,0.128804309,0.127526599,0.128701392,Alt,http://www.nationalgeographic.com/magazine/2017/02/interview-president-obama-underwater-snorkeling/,http://www.nationalgeographic.com/magazine/2017/02/interview-president-obama-underwater-snorkeling/
3218,altusda,,,419,2/22/2017,150,216,Excellent summary of where things stand on the USDABlackout by @natashaldaly http://on.natgeo.com/2lMjCe5 #stoppuppymills #nousdablackout,@natashaldaly,#USDABlackout #stoppuppymills #nousdablackout,https://twitter.com/altusda/status/834491164761919488,0.077189984,0.120649203,0.131996437,0.133126646,0.133132757,0.143314828,0.144051885,0.116538261,Alt,http://on.natgeo.com/2lMjCe5,http://news.nationalgeographic.com/2017/02/wildlife-watch-usda-animal-welfare-records-trump-explainer/
4011,altUSEPA,ferallyferal,Susan_Masten,407,2/10/2017,6,5,Underground fires can prove very difficult to contain.http://news.nationalgeographic.com/news/energy/2013/01/pictures/130108-centralia-mine-fire/ …,,,https://twitter.com/altUSEPA/status/830139773541085184,0.127347561,0.111125121,0.122479564,0.114656856,0.122727146,0.123898601,0.133633579,0.144131573,Alt,http://news.nationalgeographic.com/news/energy/2013/01/pictures/130108-centralia-mine-fire/,http://news.nationalgeographic.com/news/energy/2013/01/pictures/130108-centralia-mine-fire/
4072,altUSEPA,,,395,1/29/2017,236,788,A tree-planting obsession can go so terribly terribly well.http://video.nationalgeographic.com/video/short-film-showcase/india-man-plants-forest-bigger-than-central-park-to-save-his-island?utm_source=Twitter&utm_medium=Social&utm_content=link_tw20170129video-indiatrees&utm_campaign=Content&sf52563404=1 …,,,https://twitter.com/altUSEPA/status/825822892243853312,0.03657527,0.250897483,0.048760208,0.032075753,0.145860489,0.111491654,0.206924647,0.167414499,Alt,http://video.nationalgeographic.com/video/short-film-showcase/india-man-plants-forest-bigger-than-central-park-to-save-his-island?utm_source=Twitter&utm_medium=Social&utm_content=link_tw20170129video-indiatrees&utm_campaign=Content&sf52563404=1,http://video.nationalgeographic.com/video/short-film-showcase/india-man-plants-forest-bigger-than-central-park-to-save-his-island?utm_source=Twitter&utm_medium=Social&utm_content=link_tw20170129video-indiatrees&utm_campaign=Content&sf52563404=1
3037,altNOAA,,,397,1/31/2017,46,92,"The WHO recommends promoting clean energy that does not burn coal"" to reduce human exposure from mercury. #healthhttp://www.who.int/mediacentre/factsheets/fs361/en/ …"" ",,#coal #healthhttp,https://twitter.com/altNOAA/status/826495000288567297,0.180865751,0.106105608,0.103788554,0.089591465,0.12007729,0.120511323,0.117286098,0.16177391,Alt,http://www.who.int/mediacentre/factsheets/fs361/en/,http://www.who.int/mediacentre/factsheets/fs361/en/
3133,altusda,,,456,3/31/2017,118,152,Important story on the cruel and unscientific practices used by USDA Wildlife Services http://thedo.do/2nsnXn7 h/t @sarahvschweig resist,@sarahvschweig,#resist,https://twitter.com/altusda/status/847849766255968257,0.131477213,0.129782336,0.134353482,0.099713985,0.117345032,0.124112637,0.132785182,0.130430133,Alt,http://thedo.do/2nsnXn7,https://www.thedodo.com/coyote-friend-trapping-2326574316.html?utm_source=twitter&utm_medium=social&utm_campaign=share
3149,altusda,,,447,3/22/2017,386,251,Terrible. Republicans decide to brand themselves the party of cruelty (towards humans and other animals). http://thedo.do/2mUE1Lc resist,,#resist,https://twitter.com/altusda/status/844610539112349709,0.081231259,0.144535725,0.121794161,0.183503701,0.114934144,0.112806921,0.121171722,0.120022367,Alt,http://thedo.do/2mUE1Lc,https://www.thedodo.com/bear-wolf-alaska-hunting-sjres18-2324704518.html?utm_source=twitter&utm_medium=social&utm_campaign=share
3182,altusda,,,428,3/3/2017,124,87,"Awful. @USDA WS kills wolf with indiscriminate nasty sickening"" cyanide trap http://thedo.do/2mmPExv In-depth reporting by @sarahvschweig"" ",@USDA @sarahvschweig,,https://twitter.com/altusda/status/837732679894327296,0.150243765,0.123287353,0.103625084,0.096584319,0.128095835,0.098465392,0.13929841,0.160399843,Alt,http://thedo.do/2mmPExv,https://www.thedodo.com/oregon-shamrock-pack-wolf-m44-2297090329.html?utm_source=twitter&utm_medium=social&utm_campaign=share
3242,altusda,Sarah_Alemi86,HuffPostBlog,416,2/19/2017,6,6,Senate still needs to vote: https://www.thedodo.com/us-house-alaska-bear-wolf-2268102226.html?utm_content=buffer9c6ad&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer …,,,https://twitter.com/altusda/status/833324331652546560,0.098082149,0.11925167,0.149891163,0.149352545,0.128705663,0.139348529,0.128472735,0.086895546,Alt,https://www.thedodo.com/us-house-alaska-bear-wolf-2268102226.html?utm_content=buffer9c6ad&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,https://www.thedodo.com/us-house-alaska-bear-wolf-2268102226.html?utm_content=buffer9c6ad&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer
3295,altusda,,,412,2/15/2017,131,60,30 000 Horses Are Shipped From The U.S. To Be Killed Every Year http://thedo.do/2knKTU4 See action item at end of @sarahvschweig's report.,@sarahvschweig,,https://twitter.com/altusda/status/831955217298096128,0.168459824,0.119114151,0.108570826,0.097763547,0.118546502,0.116735292,0.140113396,0.130696463,Alt,http://thedo.do/2knKTU4,https://www.thedodo.com/us-horses-canada-slaughter-2261096346.html?utm_source=twitter&utm_medium=social&utm_campaign=share
3382,altusda,,,406,2/9/2017,108,234,Wow! Our photo campaign to resist the USDA blackout covered by @Dodo! http://thedo.do/2k7Z4rx Thx @sarahvschweig! #noblackout #transparency,@Dodo @sarahvschweig,#resist #noblackout #transparency,https://twitter.com/altusda/status/829721806487552000,0.104081231,0.13188605,0.110244691,0.111934812,0.133363153,0.14631268,0.152225122,0.109952261,Alt,http://thedo.do/2k7Z4rx,https://www.thedodo.com/pet-photos-usda-blackout-2250183023.html?utm_source=twitter&utm_medium=social&utm_campaign=share
3484,altusda,,,400,2/3/2017,652,427,Here's the @Dodo's report on the Trump USDA's shocking assault on transparency http://thedo.do/2l18MAX #factsmatter #animalwelfare #resist,@Dodo,#transparency #factsmatter #animalwelfare #resist,https://twitter.com/altusda/status/827649026719875073,0.095823075,0.121213851,0.184900064,0.14175584,0.119703703,0.097006262,0.10537375,0.134223455,Alt,http://thedo.do/2l18MAX,https://www.thedodo.com/usda-animal-welfare-information-removed-2236124400.html?utm_source=twitter&utm_medium=social&utm_campaign=share
3134,altusda,,,456,3/31/2017,61,107,Really interesting project out of Johns Hopkins for labeling and rating food producers ethical standards http://bit.ly/2naWVRl via @HubJHU,@HubJHU,,https://twitter.com/altusda/status/847834806331232257,0.105942154,0.161453904,0.097135559,0.136580562,0.103457046,0.146674434,0.151053088,0.097703254,Alt,http://bit.ly/2naWVRl,http://hub.jhu.edu/magazine/2017/spring/forefront-identifying-ethically-raised-food/
2836,altNOAA,,,432,3/7/2017,41,63,Well this is pretty frightening. TropicalCycloneEnawo https://phys.org/news/2017-03-nasa-powerful-tropical-cyclone-enawo_1.html …,,#TropicalCycloneEnawohttps,https://twitter.com/altNOAA/status/839325132074143744,0.12426204,0.176734948,0.06896321,0.058630938,0.089440347,0.175811761,0.158853035,0.14730372,Alt,https://phys.org/news/2017-03-nasa-powerful-tropical-cyclone-enawo_1.html,https://phys.org/news/2017-03-nasa-powerful-tropical-cyclone-enawo_1.html
3155,altusda,,,441,3/16/2017,154,159,Third case of bird flu detected in Tennessee http://phy.so/408888354 And Trump wants to cut rather than expand regulations! resist,,#resist,https://twitter.com/altusda/status/842451946678157312,0.254848919,0.102284124,0.089654035,0.107965111,0.127599682,0.109269087,0.089844164,0.118534878,Alt,http://phy.so/408888354,https://phys.org/news408888354.html
3761,altUSEPA,JohnDIrish,,435,3/10/2017,3,2,Increasing similarly to CO2 https://phys.org/news/2016-12-surge-methane-emissions-threatens-efforts.html …,,,https://twitter.com/altUSEPA/status/840379166281232385,0.311188484,0.121607987,0.089648635,0.095881478,0.093694388,0.092854354,0.103024783,0.092099891,Alt,https://phys.org/news/2016-12-surge-methane-emissions-threatens-efforts.html,https://phys.org/news/2016-12-surge-methane-emissions-threatens-efforts.html
3224,altusda,,,418,2/21/2017,442,585,The amazing Jane Goodall weighs in on the USDA blackout: http://news.janegoodall.org/2017/02/17/usda-blacks-animal-welfare-information/ … via @JaneGoodallInst nousdablackout #stoppuppymills pic.twitter.com/3Gj7ItZD14,@JaneGoodallInst,#nousdablackout #stoppuppymillspic,https://twitter.com/altusda/status/834113497143377920,0.159051716,0.147045857,0.063652182,0.195126897,0.091021775,0.10195981,0.01998093,0.222160831,Alt,http://news.janegoodall.org/2017/02/17/usda-blacks-animal-welfare-information/,http://news.janegoodall.org/2017/02/17/usda-blacks-animal-welfare-information/
2236,USFWS,,,231,8/18/2016,78,132,Helping species survive on islands covered in nuclear waste bird-eating mice & crazy ants: http://bit.ly/2b1KFid pic.twitter.com/LGl1e5YF24,,,https://twitter.com/USFWS/status/766293314261819392,0.141457282,0.112775395,0.120767962,0.114615909,0.122721912,0.106257671,0.139893839,0.14151003,Off,http://bit.ly/2b1KFid,http://www.scientificamerican.com/article/even-the-most-remote-islands-harbor-human-messes/
3323,altusda,,,411,2/14/2017,284,246,Scary: the group controlling Trump's USDA claims that antibiotic resistance isn't a problem. The facts: https://www.scientificamerican.com/article/how-drug-resistant-bacteria-travel-from-the-farm-to-your-table/ … resist pic.twitter.com/KzqfOpguDN,,#resistpic,https://twitter.com/altusda/status/831523963478147073,0.23346612,0.143004924,0.083666804,0.09256597,0.132089016,0.1069073,0.081536645,0.126763221,Alt,https://www.scientificamerican.com/article/how-drug-resistant-bacteria-travel-from-the-farm-to-your-table/,https://www.scientificamerican.com/article/how-drug-resistant-bacteria-travel-from-the-farm-to-your-table/
3588,altUSEPA,phantomrachel,,450,3/25/2017,0,2,"The Great Wall of China is not as visible"" as legend makes it out. https://www.scientificamerican.com/article/is-chinas-great-wall-visible-from-space/ …"" ",,,https://twitter.com/altUSEPA/status/845664905902473225,0.114610269,0.178067356,0.093162658,0.085904918,0.102679591,0.13631599,0.181909663,0.107349557,Alt,https://www.scientificamerican.com/article/is-chinas-great-wall-visible-from-space/,https://www.scientificamerican.com/article/is-chinas-great-wall-visible-from-space/
3807,altUSEPA,altUSEPA,,433,3/8/2017,29,56,The most tangible of these challenges is the broad acquisition of equal pay. https://www.scientificamerican.com/article/do-women-earn-less-than-men-in-stem-fields/ …,,,https://twitter.com/altUSEPA/status/839570523075956737,0.083658949,0.145110767,0.098392293,0.133449767,0.128312577,0.140942129,0.174306792,0.095826727,Alt,https://www.scientificamerican.com/article/do-women-earn-less-than-men-in-stem-fields/,https://www.scientificamerican.com/article/do-women-earn-less-than-men-in-stem-fields/
4089,altUSEPA,,,394,1/28/2017,986,2387,Alt/Rogue science sites headline on Scientific American's web site - Friday Jan 27 2017. https://www.scientificamerican.com/article/ldquo-rogue-rdquo-science-agencies-defy-trump-administration-on-twitter/ …,,,https://twitter.com/altUSEPA/status/825253082271358981,0.126456435,0.145615202,0.102138471,0.110670103,0.125767138,0.131490484,0.149794014,0.108068153,Alt,https://www.scientificamerican.com/article/ldquo-rogue-rdquo-science-agencies-defy-trump-administration-on-twitter/,https://www.scientificamerican.com/article/ldquo-rogue-rdquo-science-agencies-defy-trump-administration-on-twitter/
4117,altUSEPA,,,391,1/25/2017,335,433,Science is not a secret or a commodity. Efforts to constrain dissemination of research findings will not succeed. https://www.scientificamerican.com/article/trump-administration-orders-epa-to-remove-its-climate-change-web-page1/ …,,,https://twitter.com/altUSEPA/status/824369415474909184,0.119190804,0.133227045,0.104726723,0.111433842,0.109217321,0.128656143,0.1883047,0.105243423,Alt,https://www.scientificamerican.com/article/trump-administration-orders-epa-to-remove-its-climate-change-web-page1/,https://www.scientificamerican.com/article/trump-administration-orders-epa-to-remove-its-climate-change-web-page1/
3379,altusda,,,406,2/9/2017,166,269,Rachel Carson's Brave and Prescient 1953 Letter Against the Government's Assault on Science and Nature https://www.brainpickings.org/2017/02/08/rachel-carson-washington-post-letter-1953/ … resist,,#resist,https://twitter.com/altusda/status/829745213895737344,0.082681903,0.142653503,0.122074435,0.088682444,0.092696167,0.152680416,0.200395074,0.118136058,Alt,https://www.brainpickings.org/2017/02/08/rachel-carson-washington-post-letter-1953/,https://www.brainpickings.org/2017/02/08/rachel-carson-washington-post-letter-1953/
3899,altUSEPA,,,418,2/21/2017,454,585,In 1952 a pollution fog sat upon London killing over 4000 and hospitalizing more than 150 000. Pollution kills.http://today.tamu.edu/2016/11/14/researchers-solve-mystery-of-historic-1952-london-fog-and-current-chinese-haze/ …,,,https://twitter.com/altUSEPA/status/834017001525817344,0.169799525,0.152992506,0.074555114,0.091076734,0.068091814,0.202330867,0.082057839,0.159095602,Alt,http://today.tamu.edu/2016/11/14/researchers-solve-mystery-of-historic-1952-london-fog-and-current-chinese-haze/,http://today.tamu.edu/2016/11/14/researchers-solve-mystery-of-historic-1952-london-fog-and-current-chinese-haze/
2318,USFWS,,,165,6/13/2016,149,222,Forensics lab uses cutting-edge technology to help solve crimes against wildlife: http://ow.ly/eu8Z300uP2I pic.twitter.com/kkX8Ki3O8D,,,https://twitter.com/USFWS/status/742435219068858369,0.158828179,0.145115299,0.138677898,0.096817835,0.073106494,0.101688385,0.152698398,0.133067512,Off,http://ow.ly/eu8Z300uP2I,http://cen.acs.org/articles/94/i21/CEN-profiles-US-Fish-Wildlife.html?utm_source=Twitter&utm_medium=Social&utm_campaign=CEN&hootPostID=5a8e5f00d53bda6b98de695055687c0f
3474,altusda,,,401,2/4/2017,74,94,Chemists' lives upended by ban http://cen.acs.org/articles/95/i6/Chemists-lives-upended-ban.html … science #standupforscience #nobannowall #resist,,#science #standupforscience #nobannowall #resist,https://twitter.com/altusda/status/827917007093919744,0.188841287,0.133515033,0.112098578,0.0962244,0.086640157,0.134258667,0.140050112,0.108371768,Alt,http://cen.acs.org/articles/95/i6/Chemists-lives-upended-ban.html,http://cen.acs.org/articles/95/i6/Chemists-lives-upended-ban.html
3491,altusda,,,400,2/3/2017,203,458,Researchers proved the existence of ‘hangry.’ If this doesn't make you love science you are dead inside. :-) https://www.newscientist.com/article/2119406-being-hangry-exists-why-a-lack-of-food-can-change-your-mood/#.WJSk5a5cTcs.twitter …,,#science #,https://twitter.com/altusda/status/827543367152189441,0.097906406,0.202848111,0.097204408,0.14209312,0.107125702,0.100340897,0.137219973,0.115261383,Alt,https://www.newscientist.com/article/2119406-being-hangry-exists-why-a-lack-of-food-can-change-your-mood/#.WJSk5a5cTcs.twitter,https://www.newscientist.com/article/2119406-being-hangry-exists-why-a-lack-of-food-can-change-your-mood/#.WJSk5a5cTcs.twitter
3494,altusda,,,399,2/2/2017,1026,996,Trump's Wall Would Block Animals More Than People http://www.seeker.com/mexico-border-wall-will-block-animals-more-than-humans-2225770606.html … Bad for wildlife and the environment. resist,,#resist,https://twitter.com/altusda/status/827273030044835840,0.101408985,0.163867858,0.123890488,0.115064428,0.08755477,0.126205097,0.150189646,0.131818729,Alt,http://www.seeker.com/mexico-border-wall-will-block-animals-more-than-humans-2225770606.html,https://www.seeker.com/mexico-border-wall-will-block-animals-more-than-humans-2225770606.html
3673,altUSEPA,,,444,3/19/2017,160,224,Flint started getting clean water from Detroit GLWA Oct 2016. So why is lead in the water? Pipe corrosion. Explanedhttp://interestingengineering.com/series-terrible-decisions-made-engineers-flint-michigan/ …,,#Flint,https://twitter.com/altUSEPA/status/843361585594740736,0.077727664,0.103088988,0.120758045,0.113195344,0.12329194,0.240042771,0.085379908,0.13651534,Alt,http://interestingengineering.com/series-terrible-decisions-made-engineers-flint-michigan/,http://interestingengineering.com/series-terrible-decisions-made-engineers-flint-michigan/
3704,altUSEPA,,,441,3/16/2017,154,236,Where to find all the lovely charts about climate opinion. Just in case you need to send one to a politician. ?http://climatecommunication.yale.edu/visualizations-data/ycom-us-2016/ …,,#,https://twitter.com/altUSEPA/status/842282973852446720,0.119220838,0.124020079,0.127123738,0.128398498,0.126788595,0.11328647,0.146656819,0.114504964,Alt,http://climatecommunication.yale.edu/visualizations-data/ycom-us-2016/,http://climatecommunication.yale.edu/visualizations-data/ycom-us-2016/
3726,altUSEPA,,,439,3/14/2017,23,112,Because ? is irrational it's reasonable (but not guaranteed) that every possible date sequence will occur somewherehttp://www.askamathematician.com/2009/11/since-pi-is-infinite-can-i-draw-any-random-number-sequence-and-be-certain-that-it-exists-somewhere-in-the-digits-of-pi/ …,,,https://twitter.com/altUSEPA/status/841697512217960448,0.122506075,0.139919806,0.133854146,0.184347898,0.10776678,0.116794773,0.087756754,0.107053769,Alt,http://www.askamathematician.com/2009/11/since-pi-is-infinite-can-i-draw-any-random-number-sequence-and-be-certain-that-it-exists-somewhere-in-the-digits-of-pi/,http://www.askamathematician.com/2009/11/since-pi-is-infinite-can-i-draw-any-random-number-sequence-and-be-certain-that-it-exists-somewhere-in-the-digits-of-pi/
2540,USFWS,tvandenbrook,,55,2/24/2016,3,2,@tvandenbrook now it's $25 000: http://www.biologicaldiversity.org/news/press_releases/2016/bald-eagle-02-24-2016.html …,@tvandenbrook,,https://twitter.com/USFWS/status/702596454871932930,0.115792202,0.120374992,0.119420069,0.12792788,0.125595557,0.124324391,0.145923473,0.120641436,Off,http://www.biologicaldiversity.org/news/press_releases/2016/bald-eagle-02-24-2016.html,http://www.biologicaldiversity.org/news/press_releases/2016/bald-eagle-02-24-2016.html
3741,altUSEPA,altUSEPA,,437,3/12/2017,59,99,Rally: outside hearings Monday March 13 Time: Hearings @ 9 Rally @ noon Loc: 1055 Monterey Ave San Luis Obispohttp://www.biologicaldiversity.org/news/press_releases/2017/oil-trains-03-09-2017.php …,@ @,,https://twitter.com/altUSEPA/status/841123764381274116,0.120913916,0.09799294,0.101435724,0.12114836,0.101714758,0.105742978,0.206033257,0.145018067,Alt,http://www.biologicaldiversity.org/news/press_releases/2017/oil-trains-03-09-2017.php,http://www.biologicaldiversity.org/news/press_releases/2017/oil-trains-03-09-2017.php
4148,AltForestServ,,,412,2/15/2017,577,283,"Senate Republicans will hold a hearing to begin attempting to gut and repeal the Endangered Species Act.""http://www.biologicaldiversity.org/news/press_releases/2017/endangered-species-act-02-14-2017.php …"" ",,,https://twitter.com/AltForestServ/status/831996764769153024,0.075408506,0.099846385,0.207800927,0.140383992,0.09655951,0.120307332,0.109034499,0.150658849,Alt,http://www.biologicaldiversity.org/news/press_releases/2017/endangered-species-act-02-14-2017.php,http://www.biologicaldiversity.org/news/press_releases/2017/endangered-species-act-02-14-2017.php
3026,altNOAA,,,402,2/5/2017,156,290,How scientists can protect their data from the Trump Administration. https://theintercept.com/2017/02/01/how-scientists-can-protect-their-data-from-the-trump-administration/ … resist,,#resist,https://twitter.com/altNOAA/status/828424996510896128,0.123197649,0.134921115,0.127206179,0.144721657,0.115169311,0.119044966,0.1157628,0.119976323,Alt,https://theintercept.com/2017/02/01/how-scientists-can-protect-their-data-from-the-trump-administration/,https://theintercept.com/2017/02/01/how-scientists-can-protect-their-data-from-the-trump-administration/
3756,altUSEPA,,,436,3/11/2017,303,873,Rogue Twitter accounts fight to preserve the voice of government science https://interc.pt/2mdmjCb by @AlleenBrown,@AlleenBrown,,https://twitter.com/altUSEPA/status/840590385726476292,0.108682899,0.119691869,0.109528587,0.124429271,0.161127396,0.106245684,0.168069582,0.102224712,Alt,https://interc.pt/2mdmjCb,https://theintercept.com/2017/03/11/rogue-twitter-accounts-fight-to-preserve-the-voice-of-government-science/
3773,altUSEPA,,,434,3/9/2017,179,159,EPA Chief Scott Pruitt Just Said Carbon Dioxide Doesn't Drive Climate Change ? via @IFLScience:http://www.iflscience.com/environment/epa-chief-scott-pruitt-just-said-carbon-dioxide-doesnt-drive-climate-change/ …,@IFLScience,#,https://twitter.com/altUSEPA/status/839988487797465088,0.155343876,0.124836755,0.169631022,0.094247301,0.095057738,0.127414834,0.124661456,0.108807017,Alt,http://www.iflscience.com/environment/epa-chief-scott-pruitt-just-said-carbon-dioxide-doesnt-drive-climate-change/,http://www.iflscience.com/environment/epa-chief-scott-pruitt-just-said-carbon-dioxide-doesnt-drive-climate-change/
3776,altUSEPA,altUSEPA,,434,3/9/2017,145,137,And a second opinion from Wired along the same lines. https://www.wired.com/2017/03/politics-gaslighting-environmental-science/ …,,,https://twitter.com/altUSEPA/status/839973626182955008,0.093669953,0.169894111,0.114007437,0.098310747,0.131842793,0.1250938,0.158037584,0.109143575,Alt,https://www.wired.com/2017/03/politics-gaslighting-environmental-science/,https://www.wired.com/2017/03/politics-gaslighting-environmental-science/
3912,altUSEPA,Claymation138,,416,2/19/2017,0,6,that's because you're adept at reading. It's a parody of the questions asked on the media survey. https://www.wired.com/2017/02/trump-made-media-survey-thats-rant-science/ …,,,https://twitter.com/altUSEPA/status/833182370727653378,0.102741667,0.276380577,0.099950597,0.142619874,0.092874804,0.117188846,0.115960181,0.052283456,Alt,https://www.wired.com/2017/02/trump-made-media-survey-thats-rant-science/,https://www.wired.com/2017/02/trump-made-media-survey-thats-rant-science/
3913,altUSEPA,,,415,2/18/2017,143,509,PARODY Explanation: Media survey was horribly written. We tried to incorporate the horror using Trumpish language. https://www.wired.com/2017/02/trump-made-media-survey-thats-rant-science/ …,,,https://twitter.com/altUSEPA/status/833178932962803713,0.100913459,0.211480441,0.116250198,0.117466862,0.108968703,0.100232254,0.129602866,0.115085218,Alt,https://www.wired.com/2017/02/trump-made-media-survey-thats-rant-science/,https://www.wired.com/2017/02/trump-made-media-survey-thats-rant-science/
